# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
999.0; 46.623; -0.03949; 0.0; -2350.9; -1547.4
1002.0; 46.762; -0.04235; 0.0; -2124.0; -1578.8
1005.0; 46.905; -0.04524; 0.0; -1934.1; -1602.9
1008.0; 47.051; -0.04791; 0.0; -1776.1; -1621.1
1011.0; 47.199; -0.05019; 0.0; -1649.7; -1634.1
1014.0; 47.349; -0.05559; 0.0; -1416.6; -1655.5
1017.0; 47.500; -0.06267; 0.0; -1158.5; -1676.0
1020.0; 47.653; -0.06885; 0.0; -968.8; -1687.6
1023.0; 47.807; -0.07224; 0.0; -870.1; -1689.2
1026.0; 47.963; -0.07244; 0.0; -664.5; -1684.9
1029.0; 48.121; -0.07011; 0.0; -0.0; -1682.7
1032.0; 48.281; -0.06658; 963.4; -0.0; -1679.7
1035.0; 48.444; -0.06458; 929.4; -0.0; -1683.1
1038.0; 48.607; -0.06607; 846.4; -0.0; -1690.9
1041.0; 48.773; -0.07158; 776.5; -0.0; -1693.8
1044.0; 48.943; -0.08046; 1138.3; -0.0; -1638.5
1047.0; 49.116; -0.09032; 1925.5; -0.0; -1477.2
1050.0; 49.291; -0.09692; 1987.1; -0.0; -1456.9
1053.0; 49.465; -0.09708; 1738.9; -0.0; -1515.0
1056.0; 49.638; -0.09230; 1584.3; -0.0; -1547.8
1059.0; 49.810; -0.08553; 1580.9; -0.0; -1544.1
1062.0; 49.979; -0.07852; 1711.7; -0.0; -1507.0
1065.0; 50.147; -0.07188; 1935.5; -0.0; -1441.9
1068.0; 50.312; -0.06569; 2191.6; -0.0; -1361.8
1071.0; 50.473; -0.05984; 2435.2; -0.0; -1279.8
1074.0; 50.631; -0.05427; 2655.4; -0.0; -1201.6
1077.0; 50.784; -0.04905; 2856.2; -0.0; -1127.5
1080.0; 50.933; -0.04426; 3040.4; -0.0; -1057.3
1083.0; 51.077; -0.03994; 3208.3; -0.0; -991.9
1086.0; 51.218; -0.03611; 3359.9; -0.0; -931.7
1089.0; 51.355; -0.03275; 3495.5; -0.0; -877.3
1092.0; 51.490; -0.02984; 3615.1; -0.0; -829.3
1095.0; 51.622; -0.02739; 3718.1; -0.0; -788.4
1098.0; 51.752; -0.02539; 3803.8; -0.0; -755.5
1101.0; 51.879; -0.02385; 3871.5; -0.0; -731.5
1104.0; 52.004; -0.02276; 3919.7; -0.0; -717.4
1107.0; 52.125; -0.02215; 3946.3; -0.0; -714.5
1110.0; 52.243; -0.02206; 3947.9; -0.0; -724.8
1113.0; 52.359; -0.02254; 3919.5; -0.0; -750.7
1116.0; 52.471; -0.02369; 3854.8; -0.0; -794.9
1119.0; 52.580; -0.02555; 3746.4; -0.0; -859.8
1122.0; 52.687; -0.02811; 3589.9; -0.0; -945.6
1125.0; 52.792; -0.03109; 3390.0; -0.0; -1046.9
1128.0; 52.895; -0.03387; 3167.5; -0.0; -1150.8
1131.0; 52.996; -0.03551; 2960.2; -0.0; -1239.3
1134.0; 53.097; -0.03502; 2816.5; -0.0; -1293.9
1137.0; 53.196; -0.03168; 2793.3; -0.0; -1295.5
1140.0; 53.295; -0.02517; 2966.1; -0.0; -1216.8
1143.0; 53.393; -0.01562; 2766.5; -2.1; -1023.2
1146.0; 53.490; -0.00389; 68.7; -202.5; -705.7
1149.0; 53.587; 0.00774; 2.8; -4085.7; -279.6
1152.0; 53.686; 0.01721; 1.4; -6961.9; 203.9
1155.0; 53.789; 0.02315; 0.0; -6201.6; 651.0
1158.0; 53.897; 0.02763; 0.0; -4943.7; 995.8
1161.0; 54.010; 0.03092; 0.0; -4004.2; 1224.7
1164.0; 54.127; 0.03288; 0.0; -3370.0; 1366.2
1167.0; 54.249; 0.03380; 0.0; -2962.5; 1450.4
1170.0; 54.374; 0.03447; 0.0; -2690.2; 1501.4
1173.0; 54.503; 0.03632; 0.0; -2443.6; 1540.6
1176.0; 54.635; 0.03888; 0.1; -2221.0; 1572.0
1179.0; 54.768; 0.04086; 9.7; -2062.1; 1592.8
1182.0; 54.904; 0.04319; 10.5; -1911.4; 1610.7
1185.0; 55.041; 0.04539; 11.2; -1785.8; 1624.1
1188.0; 55.181; 0.04737; 11.9; -1683.8; 1633.8
1191.0; 55.322; 0.04997; 0.0; -1570.3; 1643.6
1194.0; 55.465; 0.05580; 0.0; -1346.0; 1662.2
1197.0; 55.611; 0.06305; 0.0; -1107.3; 1679.5
1200.0; 55.759; 0.06929; 0.1; -835.4; 1689.5
1203.0; 55.911; 0.07331; 0.0; -278.9; 1696.7
1206.0; 56.065; 0.07543; 0.0; -150.8; 1696.2
1209.0; 56.222; 0.07633; 0.0; -278.9; 1691.4
1212.0; 56.382; 0.07672; 0.0; -316.0; 1686.7
1215.0; 56.546; 0.07703; 0.0; -128.8; 1684.8
1218.0; 56.713; 0.07760; 0.0; -0.1; 1683.3
1221.0; 56.884; 0.07882; 0.0; -0.0; 1681.1
1224.0; 57.058; 0.08111; 0.0; -0.0; 1680.0
1227.0; 57.235; 0.08480; 0.0; -0.0; 1680.0
1230.0; 57.415; 0.09023; 101.5; -0.0; 1680.9
1233.0; 57.597; 0.09763; 830.4; -0.0; 1670.0
1236.0; 57.781; 0.10713; 1450.1; -0.0; 1570.9
1239.0; 57.964; 0.11707; 1881.4; -0.0; 1478.7
1242.0; 58.144; 0.12401; 1709.6; -0.0; 1519.3
1245.0; 58.320; 0.12648; 1465.1; -0.0; 1572.8
1248.0; 58.494; 0.12585; 1318.4; -0.0; 1602.3
1251.0; 58.666; 0.12392; 1269.0; -0.0; 1612.5
1254.0; 58.837; 0.12189; 1286.4; -0.0; 1611.1
1257.0; 59.006; 0.12024; 1334.1; -0.0; 1604.1
1260.0; 59.174; 0.11899; 1376.6; -0.0; 1597.9
1263.0; 59.341; 0.11786; 1394.5; -0.0; 1595.8
1266.0; 59.505; 0.11644; 1390.4; -0.0; 1597.6
1269.0; 59.668; 0.11438; 1377.7; -0.0; 1600.9
1272.0; 59.829; 0.11127; 1368.6; -0.0; 1603.1
1275.0; 59.989; 0.10652; 1373.1; -0.0; 1601.5
1278.0; 60.148; 0.09945; 1407.0; -0.0; 1590.9
1281.0; 60.306; 0.08938; 1510.8; -0.0; 1558.2
1284.0; 60.464; 0.07582; 1785.0; -0.0; 1470.3
1287.0; 60.621; 0.05858; 2388.1; -0.0; 1264.6
1290.0; 60.776; 0.03805; 3300.2; -0.0; 901.3
1293.0; 60.928; 0.01500; 4223.9; -0.0; 435.5
1296.0; 61.076; -0.00984; 4771.7; -0.0; -87.1
1299.0; 61.220; -0.03870; 3875.0; -0.0; -695.0
1302.0; 61.360; -0.06168; 2875.5; -0.1; -1179.1
1305.0; 61.498; -0.07337; 0.1; -56.0; -1496.3
1308.0; 61.637; -0.07676; 0.1; -902.3; -1643.3
1311.0; 61.777; -0.07672; 34.4; -0.1; -1709.7
1314.0; 61.919; -0.07517; 619.0; -0.1; -1724.7
1317.0; 62.061; -0.07254; 133.4; -0.0; -1727.5
1320.0; 62.202; -0.06931; 0.0; -0.0; -1726.3
1323.0; 62.343; -0.06601; 0.0; -0.0; -1723.7
1326.0; 62.484; -0.06313; 0.0; -0.0; -1720.5
1329.0; 62.625; -0.06104; 0.1; -0.0; -1717.0
1332.0; 62.767; -0.06020; 825.3; -0.0; -1717.3
1335.0; 62.909; -0.06162; 794.3; -0.0; -1718.8
1338.0; 63.052; -0.06599; 836.8; -0.0; -1711.3
1341.0; 63.195; -0.07305; 1153.9; -0.0; -1666.6
1344.0; 63.337; -0.08150; 1692.6; -0.0; -1568.1
1347.0; 63.480; -0.08898; 1924.0; -0.0; -1516.7
1350.0; 63.620; -0.09312; 1788.3; -0.0; -1548.3
1353.0; 63.760; -0.09345; 1561.0; -0.0; -1597.6
1356.0; 63.898; -0.09119; 1383.5; -0.0; -1632.6
1359.0; 64.036; -0.08772; 1283.5; -0.0; -1651.0
1362.0; 64.173; -0.08390; 1253.6; -0.0; -1656.1
1365.0; 64.310; -0.08012; 1282.1; -0.0; -1650.2
1368.0; 64.446; -0.07649; 1358.7; -0.0; -1634.1
1371.0; 64.583; -0.07295; 1470.7; -0.0; -1608.4
1374.0; 64.719; -0.06941; 1602.6; -0.0; -1574.9
1377.0; 64.855; -0.06580; 1742.4; -0.0; -1536.0
1380.0; 64.990; -0.06207; 1887.5; -0.0; -1492.7
1383.0; 65.125; -0.05826; 2041.6; -0.0; -1444.5
1386.0; 65.259; -0.05441; 2208.2; -0.0; -1390.6
1389.0; 65.392; -0.05059; 2385.7; -0.0; -1331.2
1392.0; 65.524; -0.04685; 2568.9; -0.0; -1267.8
1395.0; 65.654; -0.04322; 2751.4; -0.0; -1202.4
1398.0; 65.783; -0.03972; 2929.0; -0.0; -1136.7
1401.0; 65.911; -0.03639; 3099.1; -0.0; -1072.0
1404.0; 66.036; -0.03326; 3260.4; -0.0; -1008.9
1407.0; 66.160; -0.03034; 3412.4; -0.0; -948.3
1410.0; 66.282; -0.02764; 3554.5; -0.0; -890.5
1413.0; 66.402; -0.02517; 3686.9; -0.0; -835.8
1416.0; 66.520; -0.02293; 3809.7; -0.0; -784.5
1419.0; 66.637; -0.02090; 3923.4; -0.0; -736.7
1422.0; 66.751; -0.01907; 4028.3; -0.0; -692.3
1425.0; 66.864; -0.01744; 4125.2; -0.0; -651.3
1428.0; 66.974; -0.01597; 4214.7; -0.0; -613.6
1431.0; 67.083; -0.01466; 4297.4; -0.0; -579.0
1434.0; 67.190; -0.01350; 4374.0; -0.0; -547.3
1437.0; 67.295; -0.01246; 4444.9; -0.0; -518.5
1440.0; 67.398; -0.01155; 4510.5; -0.0; -492.4
1443.0; 67.500; -0.01075; 4571.0; -0.0; -469.0
1446.0; 67.599; -0.01006; 4626.3; -0.0; -448.6
1449.0; 67.698; -0.00949; 4676.2; -0.0; -431.4
1452.0; 67.795; -0.00905; 4719.9; -0.0; -418.0
1455.0; 67.890; -0.00876; 4756.0; -0.0; -409.3
1458.0; 67.984; -0.00864; 4782.9; -0.0; -406.6
1461.0; 68.077; -0.00872; 4798.2; -0.0; -411.3
1464.0; 68.168; -0.00901; 4800.1; -0.0; -424.4
1467.0; 68.258; -0.00944; 4789.0; -0.0; -445.6
1470.0; 68.346; -0.00986; 4769.6; -0.0; -471.0
1473.0; 68.434; -0.00995; 4755.3; -0.0; -492.0
1476.0; 68.520; -0.00931; 4768.5; -0.0; -494.8
1479.0; 68.606; -0.00763; 4608.6; -2.7; -464.9
1482.0; 68.690; -0.00474; 1977.1; -6.6; -402.8
1485.0; 68.774; -0.00157; 7.1; -1915.4; -316.1
1488.0; 68.858; 0.00104; 2.3; -5773.7; -218.2
1491.0; 68.943; 0.00257; 0.2; -8283.8; -123.1
1494.0; 69.030; 0.00282; 0.0; -8373.0; -41.0
1497.0; 69.121; 0.00145; 0.0; -8370.5; -0.1
1500.0; 69.215; -0.00020; 0.0; -8282.9; -0.0
1503.0; 69.313; -0.00026; 0.0; -8196.5; -0.0
1506.0; 69.415; -0.00024; 0.0; -8101.1; -4.9
1509.0; 69.521; -0.00285; 0.0; -7871.7; -70.9
1512.0; 69.633; -0.00776; 0.0; -7426.1; -219.6
1515.0; 69.751; -0.01498; 0.0; -6700.9; -451.2
1518.0; 69.875; -0.02433; 0.0; -5729.0; -730.7
1521.0; 70.005; -0.03491; 0.0; -4658.3; -1004.6
1524.0; 70.142; -0.04545; 0.0; -3657.6; -1233.4
1527.0; 70.286; -0.05458; 0.0; -2844.3; -1400.7
1530.0; 70.437; -0.06171; 0.0; -2243.9; -1511.4
1533.0; 70.596; -0.06731; 0.0; -1806.9; -1581.8
1536.0; 70.762; -0.07245; 0.0; -1466.0; -1627.3
1539.0; 70.933; -0.07775; 0.0; -1187.4; -1656.6
1542.0; 71.110; -0.08262; 0.0; -984.9; -1672.0
1545.0; 71.290; -0.08563; 0.0; -873.8; -1675.1
1548.0; 71.473; -0.08579; 0.0; -828.5; -1668.1
1551.0; 71.657; -0.08318; 0.0; -258.1; -1663.1
1554.0; 71.842; -0.07861; 785.6; -0.0; -1660.6
1557.0; 72.026; -0.07504; 982.0; -0.0; -1663.6
1560.0; 72.208; -0.07510; 887.9; -0.0; -1673.3
1563.0; 72.391; -0.07943; 770.4; -0.0; -1679.7
1566.0; 72.576; -0.08663; 1135.1; -0.0; -1615.3
1569.0; 72.763; -0.09318; 2060.7; -0.0; -1405.2
1572.0; 72.949; -0.09424; 2184.2; -0.0; -1355.4
1575.0; 73.132; -0.08662; 2178.2; -0.0; -1342.9
1578.0; 73.312; -0.07323; 2423.7; -0.0; -1250.8
1581.0; 73.488; -0.05788; 2886.8; -0.0; -1074.0
1584.0; 73.659; -0.04275; 3408.0; -0.0; -852.7
1587.0; 73.823; -0.02879; 3886.9; -0.0; -622.7
1590.0; 73.981; -0.01666; 4293.4; -0.0; -401.7
1593.0; 74.133; -0.00704; 4612.5; -0.0; -206.3
1596.0; 74.278; -0.00091; 4828.3; -0.0; -61.8
1599.0; 74.419; 0.00074; 4927.9; -0.0; -0.0
1602.0; 74.554; -0.00007; 4953.5; -0.0; -0.0
1605.0; 74.684; -0.00003; 4978.9; -0.0; -0.0
1608.0; 74.810; 0.00000; 5004.2; -0.0; -0.0
1611.0; 74.932; 0.00000; 5029.3; -0.0; 0.0
1614.0; 75.049; -0.00000; 5054.3; -0.0; 0.0
1617.0; 75.163; -0.00000; 5079.1; -0.0; 0.0
1620.0; 75.274; 0.00000; 5103.9; -0.0; 0.0
1623.0; 75.382; 0.00150; 5092.1; -0.0; 31.4
1626.0; 75.488; 0.00424; 5029.9; -0.0; 103.2
1629.0; 75.591; 0.00627; 4953.5; -0.0; 180.7
1632.0; 75.693; 0.00677; 4906.0; -0.0; 231.4
1635.0; 75.793; 0.00613; 4906.5; -0.0; 246.0
1638.0; 75.891; 0.00522; 4943.1; -0.0; 235.8
1641.0; 75.988; 0.00435; 4998.1; -0.0; 213.0
1644.0; 76.084; 0.00358; 5059.1; -0.0; 185.6
1647.0; 76.178; 0.00289; 5120.1; -0.0; 157.6
1650.0; 76.270; 0.00225; 5179.6; -0.0; 130.4
1653.0; 76.362; 0.00165; 5237.4; -0.0; 103.9
1656.0; 76.452; 0.00108; 5293.8; -0.0; 78.1
1659.0; 76.541; 0.00057; 5348.4; -0.0; 53.4
1662.0; 76.628; 0.00016; 5399.6; -0.0; 31.1
1665.0; 76.715; -0.00009; 5445.0; -0.0; 13.4
1668.0; 76.800; -0.00014; 5482.2; -0.0; 2.6
1671.0; 76.885; 0.00001; 5509.9; -0.0; 0.0
1674.0; 76.968; 0.00005; 5534.6; -0.0; 0.0
1677.0; 77.050; 0.00002; 5559.3; -0.0; 0.0
1680.0; 77.132; -0.00000; 5583.9; -0.0; 0.0
1683.0; 77.212; -0.00000; 5608.5; -0.0; 0.0
1686.0; 77.292; -0.00000; 5633.1; -0.0; 0.0
1689.0; 77.370; 0.00000; 5657.6; -0.0; 0.0
1692.0; 77.448; 0.00000; 5682.1; -0.0; 0.0
1695.0; 77.525; 0.00000; 5706.6; -0.0; 0.0
1698.0; 77.600; 0.00082; 5708.3; -0.0; 19.7
1701.0; 77.676; 0.00312; 5654.4; -0.0; 86.0
1704.0; 77.750; 0.00397; 5600.4; -0.0; 147.8
1707.0; 77.824; 0.00434; 5549.1; -0.0; 203.6
1710.0; 77.897; 0.00484; 5500.1; -0.0; 255.8
1713.0; 77.969; 0.00546; 5453.3; -0.0; 304.9
1716.0; 78.041; 0.00605; 5408.6; -0.0; 350.8
1719.0; 78.112; 0.00654; 5365.9; -0.0; 393.7
1722.0; 78.182; 0.00698; 5324.9; -0.0; 434.1
1725.0; 78.252; 0.00739; 5285.7; -0.0; 472.4
1728.0; 78.321; 0.00777; 5248.0; -0.0; 508.6
1731.0; 78.390; 0.00812; 5211.7; -0.0; 543.2
1734.0; 78.458; 0.00845; 5176.9; -0.0; 576.0
1737.0; 78.526; 0.00875; 5143.4; -0.0; 607.4
1740.0; 78.594; 0.00903; 5111.2; -0.0; 637.4
1743.0; 78.661; 0.00929; 5080.1; -0.0; 666.2
1746.0; 78.727; 0.00946; 5050.1; -0.0; 691.8
1749.0; 78.793; 0.00882; 5021.1; -0.0; 697.6
1752.0; 78.859; 0.00779; 4993.1; -0.0; 682.6
1755.0; 78.924; 0.00665; 4965.9; -0.0; 647.8
1758.0; 78.989; 0.00560; 4939.6; -0.0; 597.6
1761.0; 79.054; 0.00474; 4914.1; -0.0; 538.9
1764.0; 79.118; 0.00410; 4889.3; -0.0; 479.1
1767.0; 79.182; 0.00364; 4865.2; -0.0; 423.6
1770.0; 79.246; 0.00330; 4841.8; -0.0; 375.6
1773.0; 79.309; 0.00304; 4819.1; -0.0; 335.9
1776.0; 79.372; 0.00282; 4797.0; -0.0; 304.1
1779.0; 79.435; 0.00263; 4775.5; -0.0; 278.8
1782.0; 79.497; 0.00246; 4754.7; -0.0; 258.4
1785.0; 79.559; 0.00229; 4734.4; -0.0; 241.4
1788.0; 79.621; 0.00214; 4714.6; -0.0; 226.7
1791.0; 79.683; 0.00199; 4695.4; -0.0; 213.5
1794.0; 79.744; 0.00186; 4676.7; -0.0; 201.3
1797.0; 79.805; 0.00173; 4658.5; -0.0; 189.8
1800.0; 79.866; 0.00161; 4640.8; -0.0; 178.8
1803.0; 79.927; 0.00150; 4623.5; -0.0; 168.3
1806.0; 79.987; 0.00139; 4606.6; -0.0; 158.4
1809.0; 80.047; 0.00130; 4590.2; -0.0; 148.9
1812.0; 80.107; 0.00121; 4574.1; -0.0; 140.0
1815.0; 80.167; 0.00113; 4558.5; -0.0; 131.6
1818.0; 80.227; 0.00105; 4543.2; -0.0; 123.7
1821.0; 80.286; 0.00098; 4528.3; -0.0; 116.2
1824.0; 80.345; 0.00091; 4513.8; -0.0; 109.2
1827.0; 80.404; 0.00085; 4499.5; -0.0; 102.7
1830.0; 80.463; 0.00079; 4485.7; -0.0; 96.5
1833.0; 80.522; 0.00074; 4472.1; -0.0; 90.7
1836.0; 80.580; 0.00069; 4458.8; -0.0; 85.2
1839.0; 80.639; 0.00064; 4445.8; -0.0; 80.1
1842.0; 80.697; 0.00060; 4433.1; -0.0; 75.3
1845.0; 80.755; 0.00056; 4420.7; -0.0; 70.7
1848.0; 80.813; 0.00052; 4408.6; -0.0; 66.4
1851.0; 80.870; 0.00048; 4396.7; -0.0; 62.3
1854.0; 80.928; 0.00045; 4385.1; -0.0; 58.4
1857.0; 80.985; 0.00042; 4373.7; -0.0; 54.8
1860.0; 81.042; 0.00039; 4362.6; -0.0; 51.3
1863.0; 81.099; 0.00036; 4351.7; -0.0; 48.1
1866.0; 81.156; 0.00033; 4341.0; -0.0; 45.0
1869.0; 81.213; 0.00031; 4330.5; -0.0; 42.0
1872.0; 81.269; 0.00029; 4320.2; -0.0; 39.2
1875.0; 81.326; 0.00026; 4310.2; -0.0; 36.5
1878.0; 81.382; 0.00024; 4300.3; -0.0; 34.0
1881.0; 81.438; 0.00022; 4290.7; -0.0; 31.5
1884.0; 81.494; 0.00020; 4281.2; -0.0; 29.1
1887.0; 81.550; 0.00018; 4271.9; -0.0; 26.7
1890.0; 81.606; 0.00016; 4262.8; -0.0; 24.4
1893.0; 81.662; 0.00014; 4253.9; -0.0; 22.1
1896.0; 81.718; 0.00012; 4245.1; -0.0; 19.8
1899.0; 81.773; 0.00009; 4236.5; -0.0; 17.5
1902.0; 81.828; 0.00007; 4228.1; -0.0; 15.0
1905.0; 81.884; 0.00005; 4219.8; -0.0; 12.5
1908.0; 81.939; 0.00002; 4211.7; -0.0; 9.9
1911.0; 81.994; -0.00000; 4203.7; -0.0; 7.2
1914.0; 82.049; -0.00003; 4195.9; -0.0; 4.3
1917.0; 82.104; -0.00006; 4188.2; -0.0; 1.2
1920.0; 82.158; -0.00009; 4180.6; -0.0; -2.0
1923.0; 82.213; -0.00012; 4173.2; -0.0; -5.3
1926.0; 82.267; -0.00016; 4165.9; -0.0; -9.0
1929.0; 82.322; -0.00020; 4158.8; -0.0; -12.9
1932.0; 82.376; -0.00024; 4151.7; -0.0; -17.1
1935.0; 82.430; -0.00029; 4144.8; -0.0; -22.0
1938.0; 82.485; -0.00036; 4138.0; -0.0; -27.5
1941.0; 82.539; -0.00044; 4131.4; -0.0; -34.1
1944.0; 82.593; -0.00054; 4124.8; -0.0; -42.1
1947.0; 82.647; -0.00066; 4118.4; -0.0; -52.0
1950.0; 82.700; -0.00082; 4112.0; -0.0; -64.2
1953.0; 82.754; -0.00102; 4105.8; -0.0; -79.5
1956.0; 82.808; -0.00126; 4099.7; -0.0; -98.4
1959.0; 82.861; -0.00155; 4093.7; -0.0; -121.6
1962.0; 82.915; -0.00189; 4087.8; -0.0; -149.6
1965.0; 82.968; -0.00227; 4081.9; -0.0; -182.9
1968.0; 83.021; -0.00270; 4076.2; -0.0; -221.6
1971.0; 83.075; -0.00315; 4070.6; -0.0; -265.2
1974.0; 83.128; -0.00360; 4065.1; -0.0; -313.0
1977.0; 83.181; -0.00403; 4059.7; -0.0; -363.4
1980.0; 83.234; -0.00439; 4054.4; -0.0; -414.1
1983.0; 83.287; -0.00465; 4049.1; -0.0; -462.1
1986.0; 83.340; -0.00476; 4044.0; -0.0; -503.9
